,Bitcoin Price,Gold Price,Market,Risk Free Rate
2015-02-01,228.99,455.8,,0.02
2015-02-02,237.83,,2020.85,
2015-02-03,228.58,,2050.03,
2015-02-04,227.11,,2041.51,
2015-02-05,216.76,,2062.52,
2015-02-06,223.2,,2055.47,
2015-02-07,229.0,,,
2015-02-08,223.99,,,
2015-02-09,221.1,,2046.74,
2015-02-10,220.87,,2068.59,
2015-02-11,219.81,,2068.53,
2015-02-12,223.21,,2088.48,
2015-02-13,236.49,,2096.99,
2015-02-14,256.66,,,
2015-02-15,235.54,,,
2015-02-16,234.68,,,
2015-02-17,244.82,,2100.34,
2015-02-18,237.49,,2099.68,
2015-02-19,240.9,,2097.45,
2015-02-20,245.34,,2110.3,
2015-02-21,245.99,,,
2015-02-22,236.83,,,
2015-02-23,239.49,,2109.66,
2015-02-24,239.87,,2115.48,
2015-02-25,238.19,,2113.86,
2015-02-26,237.11,,2110.74,
2015-02-27,254.42,,2104.5,
2015-02-28,255.59,,,
2015-03-01,260.24,433.9,,0.03
2015-03-02,276.7,,2117.39,
2015-03-03,283.27,,2107.78,
2015-03-04,273.37,,2098.53,
2015-03-05,276.86,,2101.04,
2015-03-06,273.23,,2071.26,
2015-03-07,276.89,,,
2015-03-08,275.5,,,
2015-03-09,290.19,,2079.43,
2015-03-10,293.47,,2044.16,
2015-03-11,296.99,,2040.24,
2015-03-12,296.05,,2065.95,
2015-03-13,284.0,,2053.4,
2015-03-14,283.95,,,
2015-03-15,288.0,,,
2015-03-16,292.37,,2081.19,
2015-03-17,286.74,,2074.28,
2015-03-18,258.5,,2099.5,
2015-03-19,263.05,,2089.27,
2015-03-20,263.31,,2108.1,
2015-03-21,261.9,,,
2015-03-22,269.45,,,
2015-03-23,267.53,,2104.42,
2015-03-24,246.15,,2091.5,
2015-03-25,246.88,,2061.05,
2015-03-26,249.88,,2056.15,
2015-03-27,247.81,,2061.02,
2015-03-28,253.52,,,
2015-03-29,243.69,,,
2015-03-30,248.78,,2086.24,
2015-03-31,245.5,,2067.89,
2015-04-01,247.87,436.7,2059.69,0.02
2015-04-02,254.39,,2066.96,
2015-04-03,254.84,,,
2015-04-04,254.36,,,
2015-04-05,261.47,,,
2015-04-06,256.85,,2080.62,
2015-04-07,254.27,,2076.33,
2015-04-08,246.58,,2081.9,
2015-04-09,244.74,,2091.18,
2015-04-10,236.78,,2102.06,
2015-04-11,237.91,,,
2015-04-12,237.55,,,
2015-04-13,225.73,,2092.43,
2015-04-14,221.05,,2095.84,
2015-04-15,224.35,,2106.63,
2015-04-16,229.45,,2104.99,
2015-04-17,223.62,,2081.18,
2015-04-18,224.02,,,
2015-04-19,224.03,,,
2015-04-20,225.37,,2100.4,
2015-04-21,235.89,,2097.29,
2015-04-22,233.98,,2107.96,
2015-04-23,235.99,,2112.93,
2015-04-24,231.51,,2117.69,
2015-04-25,227.05,,,
2015-04-26,221.27,,,
2015-04-27,227.58,,2108.92,
2015-04-28,225.64,,2114.76,
2015-04-29,225.6,,2106.85,
2015-04-30,236.81,,2085.51,
2015-05-01,233.14,430.8,2108.29,0.02
2015-05-02,235.94,,,
2015-05-03,240.78,,,
2015-05-04,239.75,,2114.49,
2015-05-05,236.76,,2089.46,
2015-05-06,230.0,,2080.15,
2015-05-07,237.99,,2088.0,
2015-05-08,244.54,,2116.1,
2015-05-09,242.5,,,
2015-05-10,241.57,,,
